time_s,displacement_m
2.500000000000000000e-01,1.107857142404956359e-04
2.500226846590908880e-01,1.131048979130184134e-04
2.500453551136363473e-01,1.153885713814740770e-04
2.500680397727272908e-01,1.175889795438412488e-04
2.500906818181818370e-01,1.196706121960528283e-04
2.501133664772727250e-01,1.215955101544508325e-04
2.501360511363636130e-01,1.232497958680613126e-04
2.501587215909090722e-01,1.245257142348874923e-04
2.501814062500000158e-01,1.252273468876623382e-04
2.502040909090909038e-01,1.251575509693234501e-04
2.502267613636363630e-01,1.242551019900999681e-04
2.502494460227272510e-01,1.226914285213504788e-04
2.502721022727272815e-01,1.203636734202597408e-04
2.502947727272727407e-01,1.173955101561650980e-04
2.503174573863636287e-01,1.137391836270452538e-04
2.503401278409090880e-01,1.094338775063535444e-04
2.503628124999999760e-01,1.045824489369051163e-04
2.503854971590909195e-01,9.931469383701443184e-05
2.504081676136363788e-01,9.368326526788440405e-05
2.504308522727272668e-01,8.775183669887680251e-05
2.504535085227272972e-01,8.159387751771679184e-05
2.504761789772727010e-01,7.520938772440433138e-05
2.504988636363636445e-01,6.871346935970881818e-05
2.505215340909091037e-01,6.208285711751719918e-05
2.505442187499999918e-01,5.543632650798516827e-05
2.505669034090909353e-01,4.878979589845315091e-05
2.505895738636363390e-01,4.222653059500959836e-05
2.506122585227272825e-01,3.584571427108338733e-05
2.506349147727272575e-01,2.972816325317220840e-05
2.506575852272727167e-01,2.404408162283918300e-05
2.506802698863636603e-01,1.893795917594370357e-05
2.507029403409090640e-01,1.444040815737127116e-05
2.507256250000000075e-01,1.052326530182723347e-05
2.507483096590908955e-01,7.301632650080994310e-06
2.507709801136363548e-01,4.726530610315719092e-06
2.507936647727272983e-01,2.919183672277902614e-06
2.508163210227272732e-01,1.806122448242427250e-06
2.508389914772727325e-01,1.300408162734541928e-06
2.508616761363636205e-01,1.181632652578895045e-06
2.508843607954545640e-01,1.427755101458055286e-06
2.509070312500000233e-01,1.971428570623923588e-06
2.509297159090909113e-01,2.739183672351382328e-06
2.509523863636363705e-01,3.767755100502954953e-06
2.509750426136363455e-01,4.960408161240635535e-06
2.509977272727272890e-01,6.342857140268231441e-06
2.510203977272727482e-01,7.885714282495624895e-06
2.510430823863636363e-01,9.547346934878666504e-06
2.510657670454545243e-01,1.135714285250726186e-05
2.510884374999999835e-01,1.325755101499691574e-05
2.511111221590909270e-01,1.525469387132464839e-05
2.511337926136363863e-01,1.733877550312706308e-05
2.511564488636363612e-01,1.945959182879200249e-05
2.511791335227272493e-01,2.162693876668285827e-05
2.512018039772727085e-01,2.378693876580123553e-05
2.512244886363636520e-01,2.591387754044333072e-05
2.512471732954545400e-01,2.798816325388242153e-05
2.512698437499999993e-01,2.994244896737040083e-05
2.512925284090908873e-01,3.178285712988457350e-05
2.513152130681818308e-01,3.355959182303688170e-05
2.513378551136363770e-01,3.535591835291598676e-05
2.513605397727272650e-01,3.717551018890797546e-05
2.513832102272727242e-01,3.905265304528460170e-05
2.514058948863636123e-01,4.100204079959102578e-05
2.514285795454545558e-01,4.299551018653244972e-05
2.514512500000000150e-01,4.505632651222189945e-05
2.514739346590909030e-01,4.715142855218310306e-05
2.514966193181817911e-01,4.929673467375642504e-05
2.515192613636363372e-01,5.147387753001067247e-05
2.515419460227272808e-01,5.368040814135494239e-05
2.515646164772727400e-01,5.591020405881216371e-05
2.515873011363636280e-01,5.814857140483732520e-05
2.516099857954545715e-01,6.038816324065791446e-05
2.516326562499999753e-01,6.260938772954719562e-05
2.516553409090909188e-01,6.480489793273271049e-05
2.516779829545454650e-01,6.695020405430603247e-05
2.517006676136363530e-01,6.904040813508557244e-05
2.517233522727272965e-01,7.105346935875367126e-05
2.517460227272727002e-01,7.299428568449213485e-05
2.517687073863636438e-01,7.485306119393754108e-05
2.517913920454545318e-01,7.664693874422574317e-05
2.518140624999999910e-01,7.838571425372010905e-05
2.518367471590909346e-01,8.008897955914737459e-05
2.518594034090909095e-01,8.184734690536846278e-05
2.518820738636363687e-01,8.372448976174511612e-05
2.519047585227272568e-01,8.576081629152622733e-05
2.519274289772727160e-01,8.786326527025989592e-05
2.519501136363636595e-01,9.003795914692329459e-05
2.519727982954545475e-01,9.228857139090263211e-05
2.519954687500000068e-01,9.455142853283617956e-05
2.520181534090908948e-01,9.687795914413144238e-05
2.520408096590909253e-01,9.922653057174428306e-05
2.520634801136363845e-01,1.015897958769021350e-04
2.520861647727272725e-01,1.039873468963317205e-04
2.521088352272727318e-01,1.063665305688300182e-04
2.521315198863636198e-01,1.087481632209191443e-04
2.521542045454545633e-01,1.111138775056678247e-04
2.521768750000000225e-01,1.134281632190089318e-04
2.521995596590909106e-01,1.157069387282828844e-04
2.522222159090908855e-01,1.178889795437188090e-04
2.522448863636363448e-01,1.199534693387944946e-04
2.522675710227272883e-01,1.218489795421024628e-04
2.522902556818181763e-01,1.234567346434870807e-04
2.523129261363636355e-01,1.246738775001331341e-04
2.523356107954545235e-01,1.252689795407065435e-04
2.523582812499999828e-01,1.250865305611891681e-04
2.523809659090909263e-01,1.240640815820146458e-04
2.524036221590909013e-01,1.224146938275858497e-04
2.524262926136363605e-01,1.199693877061349539e-04
2.524489772727272485e-01,1.169167346461564389e-04
2.524716619318181920e-01,1.131587754640168557e-04
2.524943323863636513e-01,1.087628570984641691e-04
2.525170170454545393e-01,1.038514285290402614e-04
2.525396874999999985e-01,9.851999995978776676e-05
2.525623437499999735e-01,9.284693873761349302e-05
2.525850284090909170e-01,8.687755098494793560e-05
2.526076988636363763e-01,8.068653057931163947e-05
2.526303835227272643e-01,7.428244894927247025e-05
2.526530681818182078e-01,6.776938772744106317e-05
2.526757386363636115e-01,6.112897956688613044e-05
2.526984232954545551e-01,5.448734691653577672e-05
2.527211079545454431e-01,4.784326528659459457e-05
2.527437499999999893e-01,4.130448977905942798e-05
2.527664346590909328e-01,3.495061223063241777e-05
2.527891051136363365e-01,2.888204080453793621e-05
2.528117897727272800e-01,2.327632652111172554e-05
2.528344744318181680e-01,1.825591835989553595e-05
2.528571448863636273e-01,1.384897958618409430e-05
2.528798295454545708e-01,1.001387754693310889e-05
2.529025142045454588e-01,6.893877548206575719e-06
2.529251562500000050e-01,4.414285712483987929e-06
2.529478409090908930e-01,2.712244896852114581e-06
2.529705113636363523e-01,1.699591836040954920e-06
2.529931960227272958e-01,1.248979591326925075e-06
2.530158806818181838e-01,1.191428570942290295e-06
2.530385511363636430e-01,1.480408162661062002e-06
2.530612357954545311e-01,2.059591835894064314e-06
2.530839204545454746e-01,2.865306121279436577e-06
2.531065625000000208e-01,3.920816324930276949e-06
2.531292471590909088e-01,5.139183671371765746e-06
2.531519176136363680e-01,6.544897956512320684e-06
2.531746022727272560e-01,8.108571425261825257e-06
2.531972869318181996e-01,9.787346934780669270e-06
2.532199573863636588e-01,1.161428570954520764e-05
2.532426420454545468e-01,1.352693876998903586e-05
2.532652982954545218e-01,1.553755101406633504e-05
2.532879687499999810e-01,1.763020407443668312e-05
2.533106534090909245e-01,1.975714284907870716e-05
2.533333238636363838e-01,2.192693876656041509e-05
2.533560085227272718e-01,2.408571427588340524e-05
2.533786931818181598e-01,2.620653060154834127e-05
2.534013636363636190e-01,2.826857141703325603e-05
2.534240482954545626e-01,3.020448978358997467e-05
2.534467045454545375e-01,3.203265304814997469e-05
2.534693749999999968e-01,3.381061223109774454e-05
2.534920596590908848e-01,3.560816325077216217e-05
2.535147301136363440e-01,3.743387753574131004e-05
2.535374147727272875e-01,3.932204080027671843e-05
2.535600994318181756e-01,4.127632651376477227e-05
2.535827698863636348e-01,4.328081630886498513e-05
2.536054545454545228e-01,4.534530610394067751e-05
2.536281107954545533e-01,4.744775508267437997e-05
2.536507812500000125e-01,4.959918365322482723e-05
2.536734659090909005e-01,5.177755099927446855e-05
2.536961363636363598e-01,5.399020405959586375e-05
2.537188210227272478e-01,5.621999997705308508e-05
2.537415056818181913e-01,5.845959181287362690e-05
2.537641761363636506e-01,6.069795915889878839e-05
2.537868607954545386e-01,6.291551017840183368e-05
2.538095170454545690e-01,6.510734691220108558e-05
2.538321874999999728e-01,6.724408160520650127e-05
2.538548721590909163e-01,6.932816323700890918e-05
2.538775568181818043e-01,7.132897956272289295e-05
2.539002272727272635e-01,7.326122445989340960e-05
2.539229119318182071e-01,7.510897956118001335e-05
2.539455823863636108e-01,7.689551017269571659e-05
2.539682670454545543e-01,7.862571425362218974e-05
2.539909232954545293e-01,8.033020404884483562e-05
2.540135937499999885e-01,8.210326527261090795e-05
2.540362784090909321e-01,8.400367343510056013e-05
2.540589630681818201e-01,8.605959180160835300e-05
2.540816335227272793e-01,8.816448975993287712e-05
2.541043181818181673e-01,9.035632649373212901e-05
2.541269886363636266e-01,9.260938771730229497e-05
2.541496448863636570e-01,9.487714281841751283e-05
2.541723295454545450e-01,9.721469383787156458e-05
2.541950000000000043e-01,9.956081628589354973e-05
2.542176846590908923e-01,1.019314285298239140e-04
2.542403693181818358e-01,1.043277550594580650e-04
2.542630397727272951e-01,1.067069387319563627e-04
2.542857244318181831e-01,1.090885713840454888e-04
2.543084090909090711e-01,1.114506121994079333e-04
2.543310511363636173e-01,1.137575509739765145e-04
2.543537357954545608e-01,1.160302040342734028e-04
2.543764062500000200e-01,1.181938775027780396e-04
2.543990909090909081e-01,1.202412244407178855e-04
2.544217755681817961e-01,1.221048979093449351e-04
2.544444460227272553e-01,1.236636734189127946e-04
2.544671306818181988e-01,1.248146938266062500e-04
2.544898153409090868e-01,1.252971428060011721e-04
2.545124573863636330e-01,1.249946938265327834e-04
2.545351420454545210e-01,1.238595917861797738e-04
2.545578124999999803e-01,1.221159183175037240e-04
2.545804971590909238e-01,1.195604081144651423e-04
2.546031818181818118e-01,1.164183672994210846e-04
2.546258522727272711e-01,1.125599999540571698e-04
2.546485369318181591e-01,1.080722448538480579e-04
2.546712215909091026e-01,1.031057142436303412e-04
2.546938636363636488e-01,9.771183669481151143e-05
2.547165482954545368e-01,9.199591832979759785e-05
2.547392187499999960e-01,8.599469384245116241e-05
2.547619034090908841e-01,7.976693874295227719e-05
2.547845880681818276e-01,7.334816323536811028e-05
2.548072585227272868e-01,6.681551017681000798e-05
2.548299431818181748e-01,6.016897956727798385e-05
2.548525994318182053e-01,5.353102038631389311e-05
2.548752698863636090e-01,4.688938773596353261e-05
2.548979545454545526e-01,4.037632651413210520e-05
2.549206250000000118e-01,3.405183672079520557e-05
2.549433096590908998e-01,2.803714284569911551e-05
2.549659943181818433e-01,2.251469386836135270e-05
2.549886647727272471e-01,1.757999999282452411e-05
2.550113494318181906e-01,1.325999999458776619e-05
2.550340056818181655e-01,9.513061220606921088e-06
2.550566761363636248e-01,6.491020405513854647e-06
2.550793607954545683e-01,4.114285712606431108e-06
2.551020454545454563e-01,2.515102039789722434e-06
2.551247159090909156e-01,1.602857142202947297e-06
2.551474005681818036e-01,1.203673468896465060e-06
2.551700710227272628e-01,1.209795917873552443e-06
2.551927556818182063e-01,1.536734693250307131e-06
2.552154119318181813e-01,2.151428570550443874e-06
2.552380823863636405e-01,2.996326529389258226e-06
2.552607670454545286e-01,4.073877549357599368e-06
2.552834517045454721e-01,5.324081630479983974e-06
2.553061221590909313e-01,6.751836731938039684e-06
2.553288068181818193e-01,8.333877547618804923e-06
2.553514772727272786e-01,1.003346938365982951e-05
2.553741619318181666e-01,1.187510203596932322e-05
2.553968181818181971e-01,1.379999999436732747e-05
2.554194886363636563e-01,1.582530611598964806e-05
2.554421732954545443e-01,1.792408162533708416e-05
2.554648579545454323e-01,2.005836733875165448e-05
2.554875284090908916e-01,2.223061223582420778e-05
2.555102130681818351e-01,2.438571427576096206e-05
2.555328977272727231e-01,2.650285713203965883e-05
2.555555681818181823e-01,2.854897958018409393e-05
2.555782244318181573e-01,3.046775508960501016e-05
2.556008948863636165e-01,3.228244896641530135e-05
2.556235795454545601e-01,3.406285712895391996e-05
2.556462642045454481e-01,3.586163263842380601e-05
2.556689346590909073e-01,3.769469386216542562e-05
2.556916193181817953e-01,3.959387753485961616e-05
2.557143039772727389e-01,4.155306120752936752e-05
2.557369460227272850e-01,4.356857141078836931e-05
2.557596306818181731e-01,4.563795916504575920e-05
2.557823011363636323e-01,4.774653059275651919e-05
2.558049857954545203e-01,4.990285712248862331e-05
2.558276704545454638e-01,5.208367344812911339e-05
2.558503409090909231e-01,5.430367344722301421e-05
2.558730255681818111e-01,5.653224487488480777e-05
2.558957102272727546e-01,5.877428569029621868e-05
2.559183522727273008e-01,6.101142854652595241e-05
2.559410369318181888e-01,6.322530609664272117e-05
2.559637073863636481e-01,6.541346936105572364e-05
2.559863920454545361e-01,6.754163262549320594e-05
2.560090767045454796e-01,6.961836731852311501e-05
2.560317471590908833e-01,7.160816323607829630e-05
2.560544318181818269e-01,7.353061221488548568e-05
2.560771164772727149e-01,7.536734690801334116e-05
2.560997585227272610e-01,7.714653058075651845e-05
2.561224431818182046e-01,7.886938772291046565e-05
2.561451136363636083e-01,8.057877547731480904e-05
2.561677982954545518e-01,8.236653057862590617e-05
2.561904829545454398e-01,8.429142853702391042e-05
2.562131534090908991e-01,8.636448976066758362e-05
2.562358380681818426e-01,8.847306118837833006e-05
2.562585227272727306e-01,9.068204077931344873e-05
2.562811647727272768e-01,9.293632649267906279e-05
2.563038494318181648e-01,9.521020404277135850e-05
2.563265198863636241e-01,9.755632649079334364e-05
2.563492045454545676e-01,9.990122444901993490e-05
2.563718892045454556e-01,1.022791836317227710e-04
