time_s,displacement_m
2.500000000000000000e-01,9.893266327654800488e-05
2.500226704545454592e-01,9.683808492792711443e-05
2.500453551136363473e-01,9.453912572117478743e-05
2.500680255681818065e-01,9.202927671176454110e-05
2.500906960227272657e-01,8.935540230028702420e-05
2.501133806818182093e-01,8.652921858688993279e-05
2.501360511363636130e-01,8.354421662704671634e-05
2.501587357954545565e-01,8.043163935448454629e-05
2.501814062500000158e-01,7.717586530233982338e-05
2.502040767045454750e-01,7.381594813777144415e-05
2.502267613636363630e-01,7.039484689465416766e-05
2.502494318181818223e-01,6.694120092890449094e-05
2.502721022727272815e-01,6.350838358563955905e-05
2.502947869318181695e-01,6.012503422077584189e-05
2.503174573863636287e-01,5.683671544599873230e-05
2.503401420454545723e-01,5.367336840613001709e-05
2.503628124999999760e-01,5.058812870057904074e-05
2.503854829545454352e-01,4.752241582860750589e-05
2.504081676136363788e-01,4.445800474554126758e-05
2.504308380681818380e-01,4.141312049605446399e-05
2.504535085227272972e-01,3.836172730204119119e-05
2.504761931818181853e-01,3.532855915270204978e-05
2.504988636363636445e-01,3.232793572599529505e-05
2.505215482954545325e-01,2.933772661053091950e-05
2.505442187499999918e-01,2.641521051814191379e-05
2.505668892045454510e-01,2.351873020385883910e-05
2.505895738636363390e-01,2.066651071235580650e-05
2.506122443181817983e-01,1.784813773239047745e-05
2.506349147727272575e-01,1.497899498511859138e-05
2.506575994318182010e-01,1.204215921477133885e-05
2.506802698863636603e-01,8.876208597092027149e-06
2.507029545454545483e-01,5.554043310777235188e-06
2.507256250000000075e-01,2.161581423576451062e-06
2.507482954545454668e-01,-1.355852198532713248e-06
2.507709801136363548e-01,-4.887605498600125222e-06
2.507936505681818140e-01,-8.475335721595262851e-06
2.508163210227272732e-01,-1.211383571189693802e-05
2.508390056818181613e-01,-1.575233570219861489e-05
2.508616761363636205e-01,-1.943900188199622179e-05
2.508843465909090797e-01,-2.308401081682438989e-05
2.509070312500000233e-01,-2.668345713996718885e-05
2.509297017045454270e-01,-3.021911580675048730e-05
2.509523863636363705e-01,-3.363240631643599465e-05
2.509750568181818298e-01,-3.694806265822431148e-05
2.509977272727272890e-01,-4.012442758714598542e-05
2.510204119318181770e-01,-4.311333491370506442e-05
2.510430823863636363e-01,-4.591218106009096892e-05
2.510657528409090955e-01,-4.842723722512241500e-05
2.510884374999999835e-01,-5.059992290806102397e-05
2.511111079545454428e-01,-5.235082898568384175e-05
2.511337926136363863e-01,-5.349900680015471548e-05
2.511564630681818455e-01,-5.404445635147365194e-05
2.511791335227272493e-01,-5.401321341774655504e-05
2.512018181818181928e-01,-5.341308873240519054e-05
2.512244886363636520e-01,-5.225710018450253750e-05
2.512471590909091113e-01,-5.054134240732273338e-05
2.512698437499999993e-01,-4.828664402335046201e-05
2.512925142045454585e-01,-4.550211755492279925e-05
2.513151988636363465e-01,-4.233095978162230473e-05
2.513378693181818058e-01,-3.884346730433493801e-05
2.513605397727272650e-01,-3.504745085649247841e-05
2.513832244318182085e-01,-3.094160864918964969e-05
2.514058948863636123e-01,-2.644913513701394178e-05
2.514285653409090715e-01,-2.151144981922708442e-05
2.514512500000000150e-01,-1.623139401934745095e-05
2.514739204545454743e-01,-1.066885002701863528e-05
2.514966051136363623e-01,-4.823817842240642496e-06
2.515192755681818215e-01,1.204766578184061936e-06
2.515419460227272808e-01,7.441637223456103593e-06
2.515646306818181688e-01,1.383081717064771765e-05
2.515873011363636280e-01,2.033195096369478597e-05
2.516099715909090873e-01,2.693592608026022594e-05
2.516326562499999753e-01,3.355682445259450752e-05
2.516553267045454345e-01,4.017511924711819599e-05
2.516780113636363780e-01,4.672181565185061481e-05
