relative_velocity_m_s,force_n
-5.149955254366966884e-02,-1.777161038961038830e+00
-4.365779496252986114e-02,-1.777211688311688409e+00
-3.587683679115744040e-02,-1.775551948051948159e+00
-2.964660513857492186e-02,-1.774323376623376580e+00
-2.375042866999582669e-02,-1.772198701298701273e+00
-1.840144688932465744e-02,-1.769571428571428573e+00
-1.420970331254306496e-02,-1.767448051948051990e+00
-1.009788704972564011e-02,-1.764538961038961018e+00
-7.295649084934741069e-03,-1.762640259740259729e+00
-5.430678425773494133e-03,-1.761497402597402617e+00
-4.459254148364233394e-03,-1.761249350649350731e+00
-5.295416817526599207e-03,-1.763409090909090926e+00
-7.137160735877834394e-03,-1.767198701298701380e+00
-1.087461658799182551e-02,-1.774110389610389582e+00
-1.604871467315188704e-02,-1.783855844155844084e+00
-2.011954256983389255e-02,-1.793066233766233752e+00
-2.126175170614075238e-02,-1.798927272727272708e+00
-2.038869950745647586e-02,-1.802154545454545342e+00
-1.866308929315557696e-02,-1.803981818181818131e+00
-1.582669435658518031e-02,-1.803859740259740274e+00
-1.323827903513391524e-02,-1.803490909090909033e+00
-1.076326485999062887e-02,-1.802733766233766133e+00
-8.499340770444618887e-03,-1.801755844155844111e+00
-6.606361394424220546e-03,-1.800831168831168894e+00
-4.757102942281488112e-03,-1.799568831168831151e+00
-3.368963609162278772e-03,-1.798577922077922109e+00
-2.139312625099920595e-03,-1.797522077922077965e+00
-1.410402847325187281e-03,-1.796925974025973982e+00
-1.149443582929676744e-03,-1.796848051948051861e+00
-1.444559819104684895e-03,-1.797515584415584344e+00
-2.435112000710504265e-03,-1.799246753246753316e+00
-4.069181530642285161e-03,-1.802110389610389607e+00
-6.365213173660844159e-03,-1.806267532467532355e+00
-9.298613910085240519e-03,-1.811819480519480496e+00
-1.261730528818238994e-02,-1.818524675324675322e+00
-1.607262455339758533e-02,-1.826100000000000056e+00
-1.935510954140856610e-02,-1.834119480519480483e+00
-2.206717310070166471e-02,-1.841977922077921992e+00
-2.413093733561960663e-02,-1.849453246753246738e+00
-2.384811760928529090e-02,-1.854050649350649227e+00
-2.016599605145402707e-02,-1.853818181818181809e+00
-1.409425274792841520e-02,-1.849423376623376747e+00
-8.994616861247473061e-03,-1.845109090909090810e+00
-5.872669640600292063e-03,-1.842537662337662363e+00
-2.618876508884260268e-03,-1.839119480519480598e+00
-5.564785528374138757e-04,-1.836720779220779143e+00
1.098768299597596698e-03,-1.834380519480519389e+00
3.047081969900944376e-03,-1.831183116883116968e+00
3.896907427775042621e-03,-1.829205194805194834e+00
4.959189250117845837e-03,-1.826712987012987011e+00
5.402546743815850316e-03,-1.824918181818181884e+00
5.054145631664841432e-03,-1.824220779220779187e+00
4.760395674361150853e-03,-1.823518181818181816e+00
3.282081935743974554e-03,-1.824676623376623397e+00
1.370657794962593101e-03,-1.826824675324675296e+00
-1.455490050074170760e-03,-1.830671428571428505e+00
-6.103570769829758103e-03,-1.837622077922077990e+00
-1.236249427870717010e-02,-1.847819480519480528e+00
-2.226255097928031557e-02,-1.864362337662337721e+00
-3.701358081197952954e-02,-1.889128571428571490e+00
-5.891093228038779550e-02,-1.923337662337662346e+00
-8.940217784852066973e-02,-1.954270129870129935e+00
-1.249978412793835703e-01,-1.937054545454545362e+00
-1.574654092346789158e-01,-1.918950649350649407e+00
-1.887586605001947138e-01,-1.905280519480519574e+00
-2.196147025269327979e-01,-1.895001298701298742e+00
-2.485654686678097913e-01,-1.887302597402597426e+00
-2.780934876317605609e-01,-1.880740259740259823e+00
-3.037692833184181262e-01,-1.873859740259740336e+00
-3.245435535547160910e-01,-1.866259740259740285e+00
-3.414280278447634487e-01,-1.858172727272727309e+00
-3.556762670528682002e-01,-1.849912987012987120e+00
-3.672103932833730711e-01,-1.841505194805194812e+00
-3.769929500010247292e-01,-1.833184415584415472e+00
-3.843114227745025313e-01,-1.824790909090909130e+00
-3.897027592001803820e-01,-1.816445454545454474e+00
-3.928206075842140543e-01,-1.808045454545454511e+00
-3.931266540513584373e-01,-1.799422077922077978e+00
-3.910512764460354340e-01,-1.790657142857142947e+00
-3.848729633905576542e-01,-1.781241558441558404e+00
-3.747502032339821154e-01,-1.771176623376623294e+00
-3.586233305780042735e-01,-1.759825974025974071e+00
-3.357955431983222216e-01,-1.746953246753246702e+00
-3.094523202830929964e-01,-1.733510389610389613e+00
-2.832921787366019517e-01,-1.720687012987013098e+00
-2.549958601750202947e-01,-1.708084415584415705e+00
